,Fact,BLC,Subject,Lesson
343,Japan,-0.31405709305813945,83666,Asian Flags
344,Saudi%20Arabia,-0.44309891646797556,83666,Asian Flags
345,Maldives,-0.3059353593017029,83666,Asian Flags
346,Sri%20Lanka,-0.3469194612810482,83666,Asian Flags
347,Philippines,-0.7510130497711145,83666,Asian Flags
348,Nepal,-0.40169063726930704,83666,Asian Flags
349,Vietnam,-0.07984855563000383,83666,Asian Flags
350,China,-0.25185276790055855,83666,Asian Flags
351,Singapore,-0.692052631190033,83666,Asian Flags
352,India,-0.23937124517149974,83666,Asian Flags
353,Taiwan,-0.9102412308880612,83666,Asian Flags
354,Thailand,-0.4445164433212981,83666,Asian Flags
355,Grenada,-0.6008031981544963,83700,Caribbean Flags
356,Martinique,-0.9056025088126678,83700,Caribbean Flags
357,Bahamas,-0.27302788691428265,83700,Caribbean Flags
358,Montserrat,-2.360679774997898,83700,Caribbean Flags
359,Dominica,-0.36384429124911455,83700,Caribbean Flags
360,Haiti,-0.43896257661563437,83700,Caribbean Flags
361,Jamaica,-2.360679774997898,83700,Caribbean Flags
362,Bonaire,-0.880104775644048,83700,Caribbean Flags
363,Barbados,-0.536598042902828,83700,Caribbean Flags
364,St%20Lucia,-2.360679774997898,83700,Caribbean Flags
365,Anguilla,-0.5055786551170192,83700,Caribbean Flags
366,St%20Kitts%20and%20Nevis,-0.09198338376002378,83700,Caribbean Flags
367,Aruba,-0.7953331768475784,83700,Caribbean Flags
368,Trinidad,-2.360679774997898,83700,Caribbean Flags
369,Cuba,-0.14611613500883625,83700,Caribbean Flags
370,Bangladesh,-2.360679774997898,83700,Asian Flags
371,South%20Korea,-0.23545365007395747,83700,Asian Flags
372,Hong%20Kong,-0.8662331510846871,83700,Asian Flags
373,Japan,-0.2844317434902859,83700,Asian Flags
374,Saudi%20Arabia,-1.3551290329233348,83700,Asian Flags
375,Sri%20Lanka,-2.360679774997898,83700,Asian Flags
376,Maldives,-0.09083210481868226,83700,Asian Flags
377,Philippines,-2.360679774997898,83700,Asian Flags
378,Nepal,-0.6198927794933976,83700,Asian Flags
379,Vietnam,-0.46972951641694405,83700,Asian Flags
380,China,-0.3642195465746539,83700,Asian Flags
381,Singapore,-1.8068288170511075,83700,Asian Flags
382,India,-0.27754603331611716,83700,Asian Flags
383,Taiwan,-1.212913026958565,83700,Asian Flags
384,Thailand,-0.5503280996142085,83700,Asian Flags
385,Grenada,0.10755154931863363,83668,Caribbean Flags
386,Martinique,-0.14617767554607672,83668,Caribbean Flags
387,Bahamas,-0.22090490028803292,83668,Caribbean Flags
388,Dominica,-0.20481793633781264,83668,Caribbean Flags
389,Montserrat,-2.4284067165488947,83668,Caribbean Flags
390,Haiti,0.06892453409730201,83668,Caribbean Flags
391,Jamaica,-0.2959054007589394,83668,Caribbean Flags
392,Bonaire,-1.1785959868242617,83668,Caribbean Flags
393,Barbados,-0.1578393766847811,83668,Caribbean Flags
394,St%20Lucia,-0.2044139231388059,83668,Caribbean Flags
395,Anguilla,0.6545351898630567,83668,Caribbean Flags
396,St%20Kitts%20and%20Nevis,-0.24331891906661152,83668,Caribbean Flags
397,Aruba,-0.6479681578184058,83668,Caribbean Flags
398,Cuba,-0.2199851969965398,83668,Caribbean Flags
399,Bangladesh,-0.23108182327875432,83668,Asian Flags
400,South%20Korea,-0.37031597582049264,83668,Asian Flags
401,Hong%20Kong,-0.14007530346980662,83668,Asian Flags
402,Japan,-0.3998197256572027,83668,Asian Flags
403,Saudi%20Arabia,-0.34638314294828426,83668,Asian Flags
404,Maldives,-0.46400780287194776,83668,Asian Flags
405,Philippines,-0.16390550048626856,83668,Asian Flags
406,Vietnam,-0.19242690369243884,83668,Asian Flags
407,Sri%20Lanka,-0.473224096968653,83668,Asian Flags
408,Nepal,-0.3369910532685987,83668,Asian Flags
409,China,-0.49034514794104916,83668,Asian Flags
410,Singapore,0.5602132729308481,83668,Asian Flags
411,India,-0.31495805294131846,83668,Asian Flags
412,Taiwan,0.15585710787585455,83668,Asian Flags
413,Thailand,0.09581653913687847,83668,Asian Flags
414,Grenada,-0.5252464907908637,83670,Caribbean Flags
415,Martinique,-0.7536668818408438,83670,Caribbean Flags
416,Dominica,-0.5321425117424528,83670,Caribbean Flags
417,Montserrat,-1.1120343706221534,83670,Caribbean Flags
418,Bahamas,-0.7026942464886087,83670,Caribbean Flags
419,Haiti,-0.7505464740377726,83670,Caribbean Flags
420,Jamaica,-0.9721046895669078,83670,Caribbean Flags
421,Bonaire,-2.0145934259345046,83670,Caribbean Flags
422,Barbados,-1.440757740664364,83670,Caribbean Flags
423,St%20Lucia,-1.6294037129783638,83670,Caribbean Flags
424,Anguilla,-2.0968837526457933,83670,Caribbean Flags
425,Aruba,-0.7710766579621479,83670,Caribbean Flags
426,St%20Kitts%20and%20Nevis,-2.2796139293005497,83670,Caribbean Flags
427,Trinidad,-0.7327832730979231,83670,Caribbean Flags
428,Cuba,-0.9826565332158923,83670,Caribbean Flags
429,Bangladesh,-0.20625788538010012,83670,Asian Flags
430,South%20Korea,-0.21271912218547803,83670,Asian Flags
431,Hong%20Kong,-0.4430614134886358,83670,Asian Flags
432,Japan,-0.19433885834996095,83670,Asian Flags
433,Saudi%20Arabia,-0.37709507516319846,83670,Asian Flags
434,Maldives,-1.0533768902321057,83670,Asian Flags
435,Philippines,-0.4295869923024547,83670,Asian Flags
436,Vietnam,1.5240905243829774,83670,Asian Flags
437,China,-0.09795506635581958,83670,Asian Flags
438,Nepal,-0.4433357843228364,83670,Asian Flags
439,India,-0.4198915937171065,83670,Asian Flags
440,Singapore,-0.6094087186627669,83670,Asian Flags
441,Sri%20Lanka,-0.5232589015950576,83670,Asian Flags
442,Taiwan,-1.3947010408392009,83670,Asian Flags
443,Thailand,-1.3390326732321378,83670,Asian Flags
444,Grenada,-0.12550844558011975,83726,Caribbean Flags
445,Martinique,0.6444653710626057,83726,Caribbean Flags
446,Dominica,-0.6378972331217009,83726,Caribbean Flags
447,Bahamas,-0.13513959981395898,83726,Caribbean Flags
448,Montserrat,-0.1429040006936995,83726,Caribbean Flags
449,Haiti,0.14072146487621193,83726,Caribbean Flags
450,Jamaica,0.29137884257751906,83726,Caribbean Flags
451,Bonaire,-0.1052169982610334,83726,Caribbean Flags
452,Barbados,-0.3730758138563639,83726,Caribbean Flags
453,St%20Lucia,-0.58333720624971,83726,Caribbean Flags
454,Anguilla,-0.09107577905160574,83726,Caribbean Flags
455,St%20Kitts%20and%20Nevis,0.44873572506837567,83726,Caribbean Flags
456,Aruba,-0.8063311160831536,83726,Caribbean Flags
457,Trinidad,-0.34486426467100456,83726,Caribbean Flags
458,Cuba,-0.3631028448790346,83726,Caribbean Flags
459,Bangladesh,0.163791506574566,83726,Asian Flags
460,South%20Korea,-0.04727005360647588,83726,Asian Flags
461,Hong%20Kong,-0.12410613177693613,83726,Asian Flags
462,Japan,0.12356535843235471,83726,Asian Flags
463,Saudi%20Arabia,-2.360679774997898,83726,Asian Flags
464,Maldives,0.8893479169790407,83726,Asian Flags
465,Philippines,-0.1594311010491959,83726,Asian Flags
466,China,-0.3133996500036446,83726,Asian Flags
467,Sri%20Lanka,-0.48059324816308807,83726,Asian Flags
468,Nepal,-0.34726350145298485,83726,Asian Flags
469,Vietnam,0.07213882821507897,83726,Asian Flags
470,Singapore,0.6353021600371582,83726,Asian Flags
471,India,-0.45766212919162313,83726,Asian Flags
472,Taiwan,0.15416974996750912,83726,Asian Flags
473,Thailand,-0.2795711297610192,83726,Asian Flags
474,Grenada,-1.4244539773338174,83708,Caribbean Flags
475,Martinique,-2.245589865585399,83708,Caribbean Flags
476,Dominica,-0.5069336880192308,83708,Caribbean Flags
477,Montserrat,-0.6088898015173246,83708,Caribbean Flags
478,Bahamas,-0.7057214937295165,83708,Caribbean Flags
479,Haiti,-1.4567100480905002,83708,Caribbean Flags
480,Jamaica,0.13578788969504582,83708,Caribbean Flags
481,Bonaire,-0.47169467288239986,83708,Caribbean Flags
482,Barbados,-0.16054817638494767,83708,Caribbean Flags
